name,x1,y1,x2,y2
parking,35.22308393,32.22820179,35.22365143,32.22856223
sciences,35.22282684,32.22775812,35.22379576,32.22800672
it,35.22372564,32.22754139,35.22413998,32.22784099
engineering,35.22275672,32.22719717,35.22399974,32.2277135
sport,35.22434396,32.22719717,35.22486029,32.22822346
mosque,35.22380851,32.22812146,35.2241846,32.22845931
art,35.2210081,32.22742422,35.22159789,32.22786051
library,35.22148393,32.2277991,35.22203094,32.22817929
garden,35.2215875,32.22729645,35.22267069,32.22769099
white square,35.22200356,32.2277412,35.22277111,32.22786315
Hikmat Al-Masry Theater,35.2221542,32.22829355,35.22315131,32.22875982
Nursing,35.22130057,32.22843702,35.22179553,32.22874548
Pharmacy,35.22071235,32.22855897,35.22135078,32.22896785
Korean Institute,35.22025948,32.2276264,35.22087209,32.22808326
law,35.21978185,32.22777177,35.22038408,32.22815594